Number,lat,lon
R01,36.907638,-76.103021
R02,36.874177,-76.138317
R03,36.816771,-76.058773
R04,36.904576,-76.127324
R05,36.753554,-76.057066
R06,36.603420,-76.026115
R07,36.841128,-76.142665
R08,36.865837,-76.034447
R09,36.827618,-76.159191
R10,36.814274,-76.188342
R12,36.810996,-75.992826
R13,36.585135,-76.083101
R14,36.844345,-75.984755
R15,36.844405,-76.121104
R16,36.829972,-76.096286
R17,36.745520,-75.945355
R18,36.794736,-76.104136
R19,36.786164,-76.149401
R20,36.864015,-76.085874
R21,36.763549,-76.023473
R22,36.911537,-76.070057

